ligand,receptor,,,,,,,,,,,,,,,,,
DHH,PTCH2,,,,,,,,,,,,,,,,,
DKK1,KREMEN1,,,,,,,,,,,,,,,,,
DKK1,KREMEN2,,,,,,,,,,,,,,,,,
DKK1,LRP5,,,,,,,,,,,,,,,,,
DKK1,LRP6,11,,,,,,,,,,,,,,,,
DKK2,KREMEN2,,,,,,,,,,,,,,,,,
DKK2,LRP6,11742004,11357136,,,,,,,,,,,,,,,
DLK2,NOTCH1,,,,,,,,,,,,,,,,,
DLL1,NOTCH1,9819428,11,,,,,,,,,,,,,,,
DLL1,NOTCH2,,,,,,,,,,,,,,,,,
DLL1,NOTCH3,11,,,,,,,,,,,,,,,,
DLL1,NOTCH4,,,,,,,,,,,,,,,,,
DLL4,NOTCH1,16219802,10837024,11739188,,,,,,,,,,,,,,
DLL4,NOTCH4,16219802,13,,,,,,,,,,,,,,,
DMP1,ITGB3,,,,,,,,,,,,,,,,,
DSCAM,DCC,,,,,,,,,,,,,,,,,
DSPP,ITGB1,,,,,,,,,,,,,,,,,
DUSP18,CD151,,,,,,,,,,,,,,,,,
DUSP18,ITGA1,,,,,,,,,,,,,,,,,
DUSP18,ITGA2,,,,,,,,,,,,,,,,,
DUSP18,ITGA3,,,,,,,,,,,,,,,,,
DUSP18,ITGA6,,,,,,,,,,,,,,,,,
DUSP18,ITGA7,,,,,,,,,,,,,,,,,
DUSP18,ITGB1,,,,,,,,,,,,,,,,,
DUSP18,ITGB4,,,,,,,,,,,,,,,,,
DUSP18,RPSA,,,,,,,,,,,,,,,,,
EBI3,IL27RA,,,,,,,,,,,,,,,,,
EBI3,IL6ST,,,,,,,,,,,,,,,,,
ECM1,CACHD1,,,,,,,,,,,,,,,,,
EDA,EDA2R,HPRD,12084975,11039935,12270937,,,,,,,,,,,,,
EDA,EDAR,HPMR,12084975,11039935,11309369,,,,,,,,,,,,,
EDIL3,ITGAV,,,,,,,,,,,,,,,,,
EDIL3,ITGB5,,,,,,,,,,,,,,,,,
EDN1,EDNRA,9082970,7647976,10770212,,,,,,,,,,,,,,
EDN1,EDNRB,,,,,,,,,,,,,,,,,
EDN1,ADGRL4,,,,,,,,,,,,,,,,,
EDN1,KEL,,,,,,,,,,,,,,,,,
EDN2,EDNRA,9082970,7647976,,,,,,,,,,,,,,,
EDN2,EDNRB,,,,,,,,,,,,,,,,,
EDN2,KEL,,,,,,,,,,,,,,,,,
EDN3,EDNRA,,,,,,,,,,,,,,,,,
EDN3,EDNRB,8001160,8086489,7524189,8460684,8904635,11982704,,,,,,,,,,,
EDN3,KEL,,,,,,,,,,,,,,,,,
EFEMP1,EGFR,,,,,,,,,,,,,,,,,
EFEMP2,AQP1,,,,,,,,,,,,,,,,,
EFEMP2,CATSPER1,,,,,,,,,,,,,,,,,
EFEMP2,LINGO1,,,,,,,,,,,,,,,,,
EFEMP2,PLSCR4,,,,,,,,,,,,,,,,,
EFNA1,EPHA1,11114742,,,,,,,,,,,,,,,,
EFNA1,EPHA10,,,,,,,,,,,,,,,,,
EFNA1,EPHA2,11114742,,,,,,,,,,,,,,,,
EFNA1,EPHA3,11114742,,,,,,,,,,,,,,,,
EFNA1,EPHA4,11114742,,,,,,,,,,,,,,,,
EFNA1,EPHA5,11114742,,,,,,,,,,,,,,,,
EFNA1,EPHA6,reactome,11114742,,,,,,,,,,,,,,,
EFNA1,EPHA7,11114742,,,,,,,,,,,,,,,,
EFNA1,EPHA8,,,,,,,,,,,,,,,,,
EFNA1,EPHB1,8070404,,,,,,,,,,,,,,,,
EFNA1,EPHB6,,,,,,,,,,,,,,,,,
EFNA2,EPHA1,,,,,,,,,,,,,,,,,
EFNA2,EPHA10,,,,,,,,,,,,,,,,,
EFNA2,EPHA2,,,,,,,,,,,,,,,,,
EFNA2,EPHA3,11114742,,,,,,,,,,,,,,,,
EFNA2,EPHA4,,,,,,,,,,,,,,,,,
EFNA2,EPHA5,11114742,,,,,,,,,,,,,,,,
EFNA2,EPHA6,,,,,,,,,,,,,,,,,
EFNA2,EPHA7,,,,,,,,,,,,,,,,,
EFNA2,EPHA8,,,,,,,,,,,,,,,,,
EFNA3,EPHA1,,,,,,,,,,,,,,,,,
EFNA3,EPHA10,,,,,,,,,,,,,,,,,
EFNA3,EPHA2,11114742,,,,,,,,,,,,,,,,
EFNA3,EPHA3,,,,,,,,,,,,,,,,,
EFNA3,EPHA4,11114742,,,,,,,,,,,,,,,,
EFNA3,EPHA5,11114742,,,,,,,,,,,,,,,,
EFNA3,EPHA6,,,,,,,,,,,,,,,,,
EFNA3,EPHA7,11114742,,,,,,,,,,,,,,,,
EFNA3,EPHA8,,,,,,,,,,,,,,,,,
EFNA3,EPHB1,,,,,,,,,,,,,,,,,
EFNA3,EPHB6,,,,,,,,,,,,,,,,,
EFNA4,EPHA1,,,,,,,,,,,,,,,,,
EFNA4,EPHA10,,,,,,,,,,,,,,,,,
EFNA4,EPHA2,11114742,,,,,,,,,,,,,,,,
EFNA4,EPHA3,,,,,,,,,,,,,,,,,
EFNA4,EPHA4,,,,,,,,,,,,,,,,,
EFNA4,EPHA5,11114742,,,,,,,,,,,,,,,,
EFNA4,EPHA6,HPRD,11114742,,,,,,,,,,,,,,,
EFNA4,EPHA7,,,,,,,,,,,,,,,,,
EFNA4,EPHA8,,,,,,,,,,,,,,,,,
EFNA5,EPHA1,,,,,,,,,,,,,,,,,
EFNA5,EPHA10,,,,,,,,,,,,,,,,,
EFNA5,EPHA2,11114742,,,,,,,,,,,,,,,,
EFNA5,EPHA3,11114742,,,,,,,,,,,,,,,,
EFNA5,EPHA4,11114742,,,,,,,,,,,,,,,,
EFNA5,EPHA5,11114742,,,,,,,,,,,,,,,,
EFNA5,EPHA6,,,,,,,,,,,,,,,,,
EFNA5,EPHA7,,,,,,,,,,,,,,,,,
EFNA5,EPHA8,11114742,,,,,,,,,,,,,,,,
EFNA5,EPHB1,,,,,,,,,,,,,,,,,
EFNA5,EPHB2,15107857,,,,,,,,,,,,,,,,
EFNA5,EPHB6,,,,,,,,,,,,,,,,,
EFNB1,EPHA6,,,,,,,,,,,,,,,,,
EFNB1,EPHB1,11114742,,,,,,,,,,,,,,,,
EFNB1,EPHB2,11114742,,,,,,,,,,,,,,,,
EFNB1,EPHB3,,,,,,,,,,,,,,,,,
EFNB1,EPHB4,,,,,,,,,,,,,,,,,
EFNB1,EPHB6,,,,,,,,,,,,,,,,,
EFNB1,ERBB2,,,,,,,,,,,,,,,,,
EFNB2,EPHA3,,,,,,,,,,,,,,,,,
EFNB2,EPHA4,128,,,,,,,,,,,,,,,,
EFNB2,EPHA6,,,,,,,,,,,,,,,,,
EFNB2,EPHB1,11114742,,,,,,,,,,,,,,,,
EFNB2,EPHB2,11114742,,,,,,,,,,,,,,,,
EFNB2,EPHB3,,,,,,,,,,,,,,,,,
EFNB2,EPHB4,11114742,,,,,,,,,,,,,,,,
EFNB2,EPHB6,,,,,,,,,,,,,,,,,
EFNB2,GRM1,,,,,,,,,,,,,,,,,
EFNB2,GRM5,,,,,,,,,,,,,,,,,
EFNB2,PECAM1,,,,,,,,,,,,,,,,,
EFNB2,RHBDL2,,,,,,,,,,,,,,,,,
EFNB3,EPHA4,12094214,,,,,,,,,,,,,,,,
EFNB3,EPHB1,,,,,,,,,,,,,,,,,
EFNB3,EPHB2,,,,,,,,,,,,,,,,,
EFNB3,EPHB3,11114742,,,,,,,,,,,,,,,,
EFNB3,EPHB4,,,,,,,,,,,,,,,,,
EFNB3,EPHB6,,,,,,,,,,,,,,,,,
EFNB3,RHBDL2,,,,,,,,,,,,,,,,,
EGFL8,NCR3,,,,,,,,,,,,,,,,,
EGF,ADRB2,,,,,,,,,,,,,,,,,
EGF,CAV1,,,,,,,,,,,,,,,,,
EGF,EGFR,HPRD,6289330,12093292,12620237,10788520,16274239,15620700,12297050,,,,,,,,,
EGF,ERBB2,,,,,,,,,,,,,,,,,
EGF,ERBB3,,,,,,,,,,,,,,,,,
EGF,ERBB4,,,,,,,,,,,,,,,,,
EGF,FSHR,,,,,,,,,,,,,,,,,
EGF,LDLR,,,,,,,,,,,,,,,,,
EGF,LRP2,,,,,,,,,,,,,,,,,
EPGN,EGFR,,,,,,,,,,,,,,,,,
EPO,EPOR,HPRD,9442088,16982323,10318834,9808045,,,,,,,,,,,,
EREG,EGFR,HPMR,8626392,942,,,,,,,,,,,,,,
EREG,ERBB2,,,,,,,,,,,,,,,,,
EREG,ERBB3,,,,,,,,,,,,,,,,,
EREG,ERBB4,,,,,,,,,,,,,,,,,
EXOC3-AS1,TRAF2,,,,,,,,,,,,,,,,,
F10,F3,,,,,,,,,,,,,,,,,
F10,ITGAM,,,,,,,,,,,,,,,,,
F10,ITGB2,,,,,,,,,,,,,,,,,
F11,GP1BA,,,,,,,,,,,,,,,,,
F12,CD93,,,,,,,,,,,,,,,,,
F12,GP1BA,,,,,,,,,,,,,,,,,
F13A1,ITGA4,,,,,,,,,,,,,,,,,
F13A1,ITGA9,,,,,,,,,,,,,,,,,
F13A1,ITGB1,,,,,,,,,,,,,,,,,
F2,F2R,10644723,12563219,9058715,10978167,,,,,,,,,,,,,
F2,F2RL1,11,,,,,,,,,,,,,,,,
F2,F2RL2,13,,,,,,,,,,,,,,,,
F2,F2RL3,,,,,,,,,,,,,,,,,
F2,GP1BA,,,,,,,,,,,,,,,,,
F2,GP1BB,,,,,,,,,,,,,,,,,
F2,GP9,,,,,,,,,,,,,,,,,
F2,ITGA2B,,,,,,,,,,,,,,,,,
F2,THBD,14691232,,,,,,,,,,,,,,,,
F7,F3,99,,,,,,,,,,,,,,,,
F8,ASGR2,,,,,,,,,,,,,,,,,
F8,LDLR,,,,,,,,,,,,,,,,,
F8,LRP1,13,,,,,,,,,,,,,,,,
F9,LRP1,13,,,,,,,,,,,,,,,,
FABP5,RXRA,,,,,,,,,,,,,,,,,
FARP2,PLXNA1,,,,,,,,,,,,,,,,,
FARP2,PLXNA2,,,,,,,,,,,,,,,,,
FARP2,PLXNA3,,,,,,,,,,,,,,,,,
FARP2,PLXNA4,,,,,,,,,,,,,,,,,
FASLG,FAS,fantom5,9126929,9228058,9126929,,,,,,,,,,,,,
FASLG,TNFRSF1A,,,,,,,,,,,,,,,,,
FASLG,TNFRSF6B,14697332,10318773,11994433,9872321,,,,,,,,,,,,,
FAT4,DCHS1,,,,,,,,,,,,,,,,,
FBLN1,ITGB1,,,,,,,,,,,,,,,,,
FBLN2,ITGB3,,,,,,,,,,,,,,,,,
FBN1,ITGA5,,,,,,,,,,,,,,,,,
FBN1,ITGAV,,,,,,,,,,,,,,,,,
FBN1,ITGB1,,,,,,,,,,,,,,,,,
FBN1,ITGB3,,,,,,,,,,,,,,,,,
FBN1,ITGB6,,,,,,,,,,,,,,,,,
FCN2,LRP1,,,,,,,,,,,,,,,,,
FGA,CDH5,,,,,,,,,,,,,,,,,
FGA,ITGA2B,,,,,,,,,,,,,,,,,
FGA,ITGA5,,,,,,,,,,,,,,,,,
FGA,ITGAD,,,,,,,,,,,,,,,,,
FGA,ITGAM,,,,,,,,,,,,,,,,,
FGA,ITGAV,,,,,,,,,,,,,,,,,
FGA,ITGAX,,,,,,,,,,,,,,,,,
FGA,ITGB1,,,,,,,,,,,,,,,,,
FGA,ITGB2,,,,,,,,,,,,,,,,,
FGA,ITGB3,,,,,,,,,,,,,,,,,
FGA,PLAUR,,,,,,,,,,,,,,,,,
FGA,TLR4,,,,,,,,,,,,,,,,,
FGB,ITGA2B,,,,,,,,,,,,,,,,,
FGB,ITGA5,,,,,,,,,,,,,,,,,
FGB,ITGAM,,,,,,,,,,,,,,,,,
FGB,ITGAV,,,,,,,,,,,,,,,,,
FGB,ITGB1,,,,,,,,,,,,,,,,,
FGB,ITGB2,,,,,,,,,,,,,,,,,
FGB,ITGB3,,,,,,,,,,,,,,,,,
FGB,TLR4,,,,,,,,,,,,,,,,,
FGF10,FGFR1,,,,,,,,,,,,,,,,,
FGF10,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF11,FGFR1,,,,,,,,,,,,,,,,,
FGF11,FGFR2,,,,,,,,,,,,,,,,,
FGF11,FGFR3,,,,,,,,,,,,,,,,,
FGF11,FGFR4,,,,,,,,,,,,,,,,,
FGF12,FGFR1,,,,,,,,,,,,,,,,,
FGF12,FGFR2,,,,,,,,,,,,,,,,,
FGF12,FGFR3,,,,,,,,,,,,,,,,,
FGF12,FGFR4,,,,,,,,,,,,,,,,,
FGF13,EGFR,,,,,,,,,,,,,,,,,
FGF13,FGFR1,,,,,,,,,,,,,,,,,
FGF13,FGFR2,,,,,,,,,,,,,,,,,
FGF13,FGFR3,,,,,,,,,,,,,,,,,
FGF13,FGFR4,,,,,,,,,,,,,,,,,
FGF13,SCN5A,,,,,,,,,,,,,,,,,
FGF13,SCN8A,,,,,,,,,,,,,,,,,
FGF14,FGFR1,,,,,,,,,,,,,,,,,
FGF14,FGFR2,,,,,,,,,,,,,,,,,
FGF14,FGFR3,,,,,,,,,,,,,,,,,
FGF14,FGFR4,,,,,,,,,,,,,,,,,
FGF16,FGFR1,,,,,,,,,,,,,,,,,
FGF16,FGFR2,,,,,,,,,,,,,,,,,
FGF16,FGFR3,,,,,,,,,,,,,,,,,
FGF16,FGFR4,,,,,,,,,,,,,,,,,
FGF17,FGFR1,,,,,,,,,,,,,,,,,
FGF17,FGFR2,,,,,,,,,,,,,,,,,
FGF17,FGFR3,,,,,,,,,,,,,,,,,
FGF17,FGFR4,,,,,,,,,,,,,,,,,
FGF18,FGFR1,,,,,,,,,,,,,,,,,
FGF18,FGFR2,,,,,,,,,,,,,,,,,
FGF18,FGFR3,16597617,,,,,,,,,,,,,,,,
FGF18,FGFR4,,,,,,,,,,,,,,,,,
FGF19,FGFR1,,,,,,,,,,,,,,,,,
FGF19,FGFR2,,,,,,,,,,,,,,,,,
FGF19,FGFR3,,,,,,,,,,,,,,,,,
FGF19,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF19,KLB,,,,,,,,,,,,,,,,,
FGF1,CD44,,,,,,,,,,,,,,,,,
FGF1,EGFR,,,,,,,,,,,,,,,,,
FGF1,FGFR1,16597617,,,,,,,,,,,,,,,,
FGF1,FGFR2,,,,,,,,,,,,,,,,,
FGF1,FGFR3,,,,,,,,,,,,,,,,,
FGF1,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF1,FGFRL1,,,,,,,,,,,,,,,,,
FGF1,NRP1,,,,,,,,,,,,,,,,,
FGF20,FGFR1,,,,,,,,,,,,,,,,,
FGF20,FGFR2,,,,,,,,,,,,,,,,,
FGF20,FGFR3,,,,,,,,,,,,,,,,,
FGF20,FGFR4,,,,,,,,,,,,,,,,,
FGF21,FGFR1,,,,,,,,,,,,,,,,,
FGF21,FGFR2,,,,,,,,,,,,,,,,,
FGF21,FGFR3,,,,,,,,,,,,,,,,,
FGF21,FGFR4,,,,,,,,,,,,,,,,,
FGF22,FGFR1,,,,,,,,,,,,,,,,,
FGF22,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF23,FGFR1,,,,,,,,,,,,,,,,,
FGF23,FGFR2,reactome,16597617,,,,,,,,,,,,,,,
FGF23,FGFR3,,,,,,,,,,,,,,,,,
FGF23,FGFR4,,,,,,,,,,,,,,,,,
FGF23,PHEX,,,,,,,,,,,,,,,,,
FGF2,CD44,,,,,,,,,,,,,,,,,
FGF2,FGFR1,,,,,,,,,,,,,,,,,
FGF2,FGFR2,,,,,,,,,,,,,,,,,
FGF2,FGFR3,16597617,,,,,,,,,,,,,,,,
FGF2,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF2,FGFRL1,,,,,,,,,,,,,,,,,
FGF2,GPC4,,,,,,,,,,,,,,,,,
FGF2,NRP1,,,,,,,,,,,,,,,,,
FGF2,SDC1,,,,,,,,,,,,,,,,,
FGF2,SDC2,17,,,,,,,,,,,,,,,,
FGF2,SDC3,,,,,,,,,,,,,,,,,
FGF2,SDC4,,,,,,,,,,,,,,,,,
FGF3,FGFR1,16597617,,,,,,,,,,,,,,,,
FGF3,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF3,FGFR3,,,,,,,,,,,,,,,,,
FGF3,FGFR4,,,,,,,,,,,,,,,,,
FGF4,FGFR1,16597617,,,,,,,,,,,,,,,,
FGF4,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF4,FGFR3,16597617,,,,,,,,,,,,,,,,
FGF4,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF4,NRP1,,,,,,,,,,,,,,,,,
FGF5,FGFR1,16597617,,,,,,,,,,,,,,,,
FGF5,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF5,FGFR3,,,,,,,,,,,,,,,,,
FGF5,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF6,FGFR1,,,,,,,,,,,,,,,,,
FGF6,FGFR2,,,,,,,,,,,,,,,,,
FGF6,FGFR3,,,,,,,,,,,,,,,,,
FGF6,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF6,SDC4,,,,,,,,,,,,,,,,,
FGF7,FGFR1,,,,,,,,,,,,,,,,,
FGF7,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF7,FGFR3,,,,,,,,,,,,,,,,,
FGF7,FGFR4,,,,,,,,,,,,,,,,,
FGF7,NRP1,,,,,,,,,,,,,,,,,
FGF8,FGFR1,16597617,,,,,,,,,,,,,,,,
FGF8,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF8,FGFR3,16597617,,,,,,,,,,,,,,,,
FGF8,FGFR4,16597617,,,,,,,,,,,,,,,,
FGF9,FGFR1,,,,,,,,,,,,,,,,,
FGF9,FGFR2,16597617,,,,,,,,,,,,,,,,
FGF9,FGFR3,16597617,,,,,,,,,,,,,,,,
FGF9,FGFR4,,,,,,,,,,,,,,,,,
FGG,ITGA2B,,,,,,,,,,,,,,,,,
FGG,ITGA5,,,,,,,,,,,,,,,,,
FGG,ITGAV,,,,,,,,,,,,,,,,,
FGG,ITGB1,,,,,,,,,,,,,,,,,
FGG,ITGB2,,,,,,,,,,,,,,,,,
FGG,ITGB3,,,,,,,,,,,,,,,,,
FGG,TLR4,,,,,,,,,,,,,,,,,
FGL1,EGFR,,,,,,,,,,,,,,,,,
FLT3LG,FLT3,15147956,9651358,7505204,,,,,,,,,,,,,,
FN1,C5AR1,,,,,,,,,,,,,,,,,
FN1,CD44,,,,,,,,,,,,,,,,,
FN1,CD79A,,,,,,,,,,,,,,,,,
FN1,COL13A1,,,,,,,,,,,,,,,,,
FN1,FLT4,,,,,,,,,,,,,,,,,
FN1,IL17RC,,,,,,,,,,,,,,,,,
FN1,ITGA2,,,,,,,,,,,,,,,,,
FN1,ITGA2B,,,,,,,,,,,,,,,,,
FN1,ITGA3,,,,,,,,,,,,,,,,,
FN1,ITGA4,11010812,9117345,,,,,,,,,,,,,,,
FN1,ITGA5,11423542,10772816,11801679,9211865,1694173,,,,,,,,,,,,
FN1,ITGA6,,,,,,,,,,,,,,,,,
FN1,ITGA8,756,,,,,,,,,,,,,,,,
FN1,ITGA9,,,,,,,,,,,,,,,,,
FN1,ITGAV,,,,,,,,,,,,,,,,,
FN1,ITGB1,7626807,7688313,9842903,10772816,11010812,8120056,,,,,,,,,,,
FN1,ITGB3,11423542,8663002,1694173,,,,,,,,,,,,,,
FN1,ITGB6,,,,,,,,,,,,,,,,,
FN1,ITGB7,,,,,,,,,,,,,,,,,
FN1,ITGB8,,,,,,,,,,,,,,,,,
FN1,MAG,,,,,,,,,,,,,,,,,
FN1,NT5E,,,,,,,,,,,,,,,,,
FN1,PLAUR,,,,,,,,,,,,,,,,,
FN1,ROBO4,,,,,,,,,,,,,,,,,
FN1,SDC2,,,,,,,,,,,,,,,,,
FN1,TMPRSS6,,,,,,,,,,,,,,,,,
FN1,TNFRSF11B,,,,,,,,,,,,,,,,,
FN1,TSHR,,,,,,,,,,,,,,,,,
FSHB,ADCYAP1R1,,,,,,,,,,,,,,,,,
FSHB,ADRB2,,,,,,,,,,,,,,,,,
FSHB,ADRB3,,,,,,,,,,,,,,,,,
FSHB,FSHR,2126341,104,,,,,,,,,,,,,,,
FSHB,GPR20,,,,,,,,,,,,,,,,,
FSHB,GPR84,,,,,,,,,,,,,,,,,
FSHB,PTH1R,,,,,,,,,,,,,,,,,
FSHB,RAMP2,,,,,,,,,,,,,,,,,
FSHB,RAMP3,,,,,,,,,,,,,,,,,
FSHB,TSHR,,,,,,,,,,,,,,,,,
FSHB,VIPR1,,,,,,,,,,,,,,,,,
FST,BMPR1B,,,,,,,,,,,,,,,,,
FST,BMPR2,,,,,,,,,,,,,,,,,
FST,HFE2,,,,,,,,,,,,,,,,,
GAD1,GRM4,,,,,,,,,,,,,,,,,
GALP,GALR1,16,,,,,,,,,,,,,,,,
GALP,GALR2,15944009,20880399,,,,,,,,,,,,,,,
GALP,GALR3,159,,,,,,,,,,,,,,,,
GAL,ADRA2A,,,,,,,,,,,,,,,,,
GAL,GALR1,10689365,11481429,9168941,9685625,9808667,9880084,7524088,11600206,8617199,,,,,,,,
GAL,GALR2,9832121,9880084,9685625,11600206,9480833,9685625,,,,,,,,,,,
GAL,GALR3,9722565,9880084,,,,,,,,,,,,,,,
GAL,GPR151,,,,,,,,,,,,,,,,,
GAL,GRM7,,,,,,,,,,,,,,,,,
GAL,MTNR1A,,,,,,,,,,,,,,,,,
GAS6,AXL,7854420,8939948,8621659,16362042,,,,,,,,,,,,,
GAS6,MERTK,9160883,894,,,,,,,,,,,,,,,
GAS6,TYRO3,7867073,8939948,8621659,8939948,,,,,,,,,,,,,
GAST,CCKBR,,,,,,,,,,,,,,,,,
GCG,ADCYAP1R1,,,,,,,,,,,,,,,,,
GCG,ADRB2,,,,,,,,,,,,,,,,,
GCG,ADRB3,,,,,,,,,,,,,,,,,
GCG,GCGR,12529935,4305077,8382034,,,,,,,,,,,,,,
GCG,GLP1R,8404634,7937318,15528268,8404634,11116211,,,,,,,,,,,,
GCG,GLP2R,9990065,117,,,,,,,,,,,,,,,
GCG,GPR20,,,,,,,,,,,,,,,,,
GCG,GPR84,,,,,,,,,,,,,,,,,
GCG,PTH1R,,,,,,,,,,,,,,,,,
GCG,RAMP2,,,,,,,,,,,,,,,,,
GCG,RAMP3,,,,,,,,,,,,,,,,,
GCG,TSHR,,,,,,,,,,,,,,,,,
GCG,VIPR1,,,,,,,,,,,,,,,,,
GC,LRP2,,,,,,,,,,,,,,,,,
GDF10,ACVR1B,,,,,,,,,,,,,,,,,
GDF11,ACVR1B,,,,,,,,,,,,,,,,,
GDF11,ACVR2A,,,,,,,,,,,,,,,,,
GDF11,ACVR2B,17,,,,,,,,,,,,,,,,
GDF11,BMPR1A,,,,,,,,,,,,,,,,,
GDF11,BMPR1B,,,,,,,,,,,,,,,,,
GDF11,BMPR2,,,,,,,,,,,,,,,,,
GDF1,ACVR1B,,,,,,,,,,,,,,,,,
GDF1,ACVR2A,,,,,,,,,,,,,,,,,
GDF1,ACVR2B,,,,,,,,,,,,,,,,,
GDF1,SMAD3,,,,,,,,,,,,,,,,,
GDF2,ACVR1,,,,,,,,,,,,,,,,,
GDF2,ACVR2A,,,,,,,,,,,,,,,,,
GDF2,ACVR2B,,,,,,,,,,,,,,,,,
GDF2,ACVRL1,,,,,,,,,,,,,,,,,
GDF2,BMPR2,,,,,,,,,,,,,,,,,
GDF2,ENG,,,,,,,,,,,,,,,,,
GDF5,ACVR1,,,,,,,,,,,,,,,,,
GDF5,ACVR2A,,,,,,,,,,,,,,,,,
GDF5,ACVR2B,,,,,,,,,,,,,,,,,
GDF5,BMPR1A,95,,,,,,,,,,,,,,,,
GDF5,BMPR1B,8702914,15569154,11282024,,,,,,,,,,,,,,
GDF5,BMPR2,953,,,,,,,,,,,,,,,,
GDF5,ROR2,,,,,,,,,,,,,,,,,
GDF6,BMPR1A,16049014,95,,,,,,,,,,,,,,,
GDF6,BMPR1B,,,,,,,,,,,,,,,,,
GDF6,BMPR2,95,,,,,,,,,,,,,,,,
GDF7,ACVR2A,,,,,,,,,,,,,,,,,
GDF7,BMPR1A,,,,,,,,,,,,,,,,,
GDF7,BMPR2,,,,,,,,,,,,,,,,,
GDF9,ACVR2A,,,,,,,,,,,,,,,,,
GDF9,BMPR1A,,,,,,,,,,,,,,,,,
GDF9,BMPR1B,,,,,,,,,,,,,,,,,
GDF9,BMPR2,,,,,,,,,,,,,,,,,
GDF9,FXYD6,,,,,,,,,,,,,,,,,
GDF9,ORAI2,,,,,,,,,,,,,,,,,
GDF9,TGFBR1,,,,,,,,,,,,,,,,,
GDNF,EDNRB,,,,,,,,,,,,,,,,,
GDNF,GFRA1,14514671,8674117,9482105,,,,,,,,,,,,,,
GDNF,GFRA2,9182803,941,,,,,,,,,,,,,,,
GDNF,GFRA3,,,,,,,,,,,,,,,,,
GDNF,RET,9482105,9182803,14514671,8674117,,,,,,,,,,,,,
GDNF,SLC44A5,,,,,,,,,,,,,,,,,
GH1,GHR,,,,,,,,,,,,,,,,,
GH1,PRLR,,,,,,,,,,,,,,,,,
GH2,GHR,,,,,,,,,,,,,,,,,
GHRH,ADCYAP1R1,,,,,,,,,,,,,,,,,
GHRH,ADRB2,,,,,,,,,,,,,,,,,
GHRH,ADRB3,,,,,,,,,,,,,,,,,
GHRH,GHRHR,133,,,,,,,,,,,,,,,,
GHRH,GPR20,,,,,,,,,,,,,,,,,
GHRH,GPR84,,,,,,,,,,,,,,,,,
GHRH,PTH1R,,,,,,,,,,,,,,,,,
GHRH,RAMP2,,,,,,,,,,,,,,,,,
GHRH,RAMP3,,,,,,,,,,,,,,,,,
GHRH,TSHR,,,,,,,,,,,,,,,,,
GHRH,VIPR1,,,,,,,,,,,,,,,,,
GHRL,GHRHR,,,,,,,,,,,,,,,,,
GHRL,GHSR,10604470,15905359,10628755,12907757,21402696,11314756,11227737,,,,,,,,,,
GHRL,GPR39,,,,,,,,,,,,,,,,,
GHRL,MLNR,,,,,,,,,,,,,,,,,
GIP,ADCYAP1R1,,,,,,,,,,,,,,,,,
GIP,ADRB2,,,,,,,,,,,,,,,,,
GIP,ADRB3,,,,,,,,,,,,,,,,,
GIP,DPP4,,,,,,,,,,,,,,,,,
GIP,GIPR,15655707,7589426,8795084,12627975,7589426,,,,,,,,,,,,
GIP,GPR20,,,,,,,,,,,,,,,,,
GIP,GPR84,,,,,,,,,,,,,,,,,
GIP,INSR,,,,,,,,,,,,,,,,,
GIP,PTH1R,,,,,,,,,,,,,,,,,
GIP,RAMP2,,,,,,,,,,,,,,,,,
GIP,RAMP3,,,,,,,,,,,,,,,,,
GIP,TSHR,,,,,,,,,,,,,,,,,
GIP,VIPR1,,,,,,,,,,,,,,,,,
GNAI2,ADCY1,,,,,,,,,,,,,,,,,
GNAI2,ADCY7,,,,,,,,,,,,,,,,,
GNAI2,ADCY8,,,,,,,,,,,,,,,,,
GNAI2,ADCY9,,,,,,,,,,,,,,,,,
GNAI2,ADORA1,,,,,,,,,,,,,,,,,
GNAI2,ADRA2A,,,,,,,,,,,,,,,,,
GNAI2,ADRA2B,,,,,,,,,,,,,,,,,
GNAI2,AGTR2,,,,,,,,,,,,,,,,,
GNAI2,C5AR1,,,,,,,,,,,,,,,,,
GNAI2,CAV1,,,,,,,,,,,,,,,,,
GNAI2,CCR5,,,,,,,,,,,,,,,,,
GNAI2,CHRM1,,,,,,,,,,,,,,,,,
GNAI2,CNR1,,,,,,,,,,,,,,,,,
GNAI2,CXCR1,,,,,,,,,,,,,,,,,
GNAI2,CXCR2,,,,,,,,,,,,,,,,,
GNAI2,CXCR3,,,,,,,,,,,,,,,,,
GNAI2,DRD2,,,,,,,,,,,,,,,,,
GNAI2,EDNRA,,,,,,,,,,,,,,,,,
GNAI2,EDNRB,,,,,,,,,,,,,,,,,
